"","Subject","Age","Gender","STAIT","Condition","EV","AltEV","Risk","AltRisk","Actual","Counterfactual","Satisfaction","ReactionTime","Trial","TrialTot"
"257",3,22,"male",60,"double","high","low","low","high",20,40,6.76005372443793,1.70033653000064,17,65
"258",3,22,"male",60,"double","low","low","low","high",20,40,7.02850351132897,6.79447445799997,18,66
"259",3,22,"male",60,"double","low","low","low","high",20,40,7.05290803740997,1.94107701699977,19,67
"260",3,22,"male",60,"double","high","low","low","low",20,0,6.5160084636279,6.21717549499954,20,68
"261",3,22,"male",60,"double","high","low","high","high",0,40,-7.29695329822001,3.43035572799999,21,69
"262",3,22,"male",60,"double","high","low","high","high",0,0,-7.32135782430101,1.84277424999891,22,70
"263",3,22,"male",60,"double","high","high","low","high",20,40,6.80886277659994,1.66192627599958,23,71
"264",3,22,"male",60,"double","low","high","low","high",20,40,6.95528993308596,2.42970638800034,24,72
"265",3,22,"male",60,"single","high","low","low","low",20,20,6.83326730268094,1.95839734499896,1,73
"266",3,22,"male",60,"single","low","low","low","high",20,40,6.78445825051894,1.78660783000123,2,74
"267",3,22,"male",60,"single","high","high","low","high",20,40,6.78445825051894,1.77045743999952,3,75
"268",3,22,"male",60,"single","high","low","high","high",40,0,6.78445825051894,1.68310316299903,4,76
"269",3,22,"male",60,"single","high","low","low","low",20,0,6.29636772889887,1.8991183879989,5,77
"270",3,22,"male",60,"single","high","high","low","high",20,40,6.88207635484295,1.3820728390001,6,78
"271",3,22,"male",60,"single","high","low","low","low",20,20,6.66243562011392,1.78829122699972,7,79
"272",3,22,"male",60,"single","high","low","low","high",20,0,6.71124467227593,1.52532802600035,8,80
"273",3,22,"male",60,"single","low","high","low","high",20,0,6.73564919835693,1.44966112600014,9,81
"274",3,22,"male",60,"single","high","low","high","high",40,20,6.83326730268094,3.93209926200143,10,82
"275",3,22,"male",60,"single","high","low","low","low",0,20,-7.34576235038201,9.91062479300126,11,83
"276",3,22,"male",60,"single","low","high","low","high",40,40,3.6606789121505,5.933078561,12,84
"277",3,22,"male",60,"single","high","high","low","high",40,40,2.9285431297204,1.32252700199933,13,85
"278",3,22,"male",60,"single","high","high","low","high",40,0,2.8797340775584,1.61670969500119,14,86
"279",3,22,"male",60,"single","high","low","high","high",0,40,-7.32135782430101,2.42720847700002,15,87
"280",3,22,"male",60,"single","low","low","low","high",0,0,-7.29695329822001,1.58372708500065,16,88
"281",3,22,"male",60,"single","high","low","low","high",20,40,6.90648088092395,1.51225129899831,17,89
"282",3,22,"male",60,"single","low","high","low","high",20,40,6.93088540700496,1.37171802500052,18,90
"283",3,22,"male",60,"single","high","low","low","high",20,40,6.46719941146589,1.21271417500066,19,91
"284",3,22,"male",60,"single","low","low","low","high",20,0,6.83326730268094,1.52418718700028,20,92
"285",3,22,"male",60,"single","high","low","low","high",20,0,6.41839035930388,1.45524357000068,21,93
"286",3,22,"male",60,"single","low","low","low","high",20,40,6.90648088092395,1.54283796699929,22,94
"287",3,22,"male",60,"single","low","high","low","high",20,40,6.97969445916696,1.60955078000006,23,95
