YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y,FRAME_PATH
2020,12,7,1,7,52,892783,0,337,0,38,35,382,000000293_000021199_c.png
2020,12,7,1,7,52,915325,0,325,0,38,35,382,000000294_000021266_c.png
2020,12,7,1,7,52,939990,0,322,0,36,39,382,000000295_000021333_c.png
2020,12,7,1,7,52,963131,0,336,0,38,38,382,000000296_000021399_c.png
2020,12,7,1,7,52,986426,0,324,0,36,39,382,000000297_000021466_c.png
2020,12,7,1,7,53,10446,0,333,0,36,35,382,000000298_000021533_c.png
2020,12,7,1,7,53,33577,0,322,0,36,40,381,000000299_000021599_c.png
2020,12,7,1,7,53,57777,0,316,0,38,39,382,000000300_000021666_c.png
2020,12,7,1,7,53,80926,0,326,0,38,39,382,000000301_000021733_c.png
2020,12,7,1,7,53,103762,0,329,0,41,38,382,000000302_000021799_c.png
2020,12,7,1,7,53,127002,0,334,0,36,39,382,000000303_000021866_c.png
2020,12,7,1,7,53,150163,0,330,0,38,38,382,000000304_000021933_c.png
2020,12,7,1,7,53,174407,0,327,0,38,37,382,000000305_000021999_c.png
2020,12,7,1,7,53,197717,0,320,0,38,39,382,000000306_000022066_c.png
2020,12,7,1,7,53,220389,0,337,0,38,34,382,000000307_000022133_c.png
2020,12,7,1,7,53,244883,0,333,0,36,34,381,000000308_000022199_c.png
2020,12,7,1,7,53,267007,0,336,0,38,33,382,000000309_000022266_c.png
2020,12,7,1,7,53,289389,0,328,0,38,38,382,000000310_000022333_c.png
2020,12,7,1,7,53,311096,0,319,0,38,37,382,000000311_000022399_c.png
2020,12,7,1,7,53,333368,0,319,0,38,39,382,000000312_000022466_c.png
2020,12,7,1,7,53,355950,0,333,0,36,39,382,000000313_000022533_c.png
2020,12,7,1,7,53,382346,0,337,0,36,35,382,000000314_000022599_c.png
2020,12,7,1,7,53,408026,0,329,0,40,39,381,000000315_000022666_c.png
2020,12,7,1,7,53,431735,0,334,0,38,37,382,000000316_000022733_c.png
2020,12,7,1,7,53,454032,0,318,0,36,35,382,000000317_000022799_c.png
2020,12,7,1,7,53,476382,0,318,0,38,40,381,000000318_000022866_c.png
2020,12,7,1,7,53,499910,0,324,0,36,39,382,000000319_000022933_c.png
2020,12,7,1,7,53,522410,0,325,0,38,34,382,000000320_000022999_c.png
2020,12,7,1,7,53,544679,0,314,0,38,40,381,000000321_000023066_c.png
2020,12,7,1,7,53,568675,0,336,0,38,39,382,000000322_000023133_c.png
2020,12,7,1,7,53,592748,0,327,0,38,34,382,000000323_000023199_c.png
2020,12,7,1,7,53,616038,0,337,0,38,38,382,000000324_000023266_c.png
2020,12,7,1,7,53,640718,0,319,0,36,35,382,000000325_000023333_c.png
2020,12,7,1,7,53,665064,0,337,0,38,39,382,000000326_000023399_c.png
2020,12,7,1,7,53,687719,0,336,0,38,39,382,000000327_000023466_c.png
2020,12,7,1,7,53,711192,0,325,0,38,37,382,000000328_000023533_c.png
2020,12,7,1,7,53,734277,0,327,0,38,39,382,000000329_000023599_c.png
2020,12,7,1,7,53,758999,0,324,0,36,36,382,000000330_000023666_c.png
2020,12,7,1,7,53,781804,0,316,0,36,39,381,000000331_000023733_c.png
2020,12,7,1,7,53,804768,0,326,0,36,38,382,000000332_000023799_c.png
2020,12,7,1,7,53,828960,0,335,0,36,38,382,000000333_000024866_c.png
2020,12,7,1,7,53,853259,0,325,0,38,32,382,000000334_000024933_c.png
2020,12,7,1,7,53,878187,0,323,0,38,39,382,000000335_000024999_c.png
2020,12,7,1,7,53,903402,0,335,0,38,38,382,000000336_000025066_c.png
2020,12,7,1,7,53,927163,0,324,0,38,40,381,000000337_000025133_c.png
2020,12,7,1,7,53,951222,0,324,0,36,38,382,000000338_000025199_c.png
